text,label,repo,file,issue_type,notes
"Analyze this secure_implementation: import java.util.stream.Stream;
import org.junit.jupiter.api.DisplayName;
import org.junit.jupiter.params.ParameterizedTest;
import org.junit.jupiter.params.provider.Arguments;
import org.junit.jupiter.params.provider.MethodSource;",SAFE_CODE,WebGoat,MD5Test.java,secure_implementation,secure coding pattern — VULNERABLE_LOGIC repo
"Analyze this secure_implementation: public class MD5Test {

  @ParameterizedTest
  @DisplayName(""MD5 test"")
  @MethodSource(""providedForMD5Values"")
  void testMD5(String in, String out) {",SAFE_CODE,WebGoat,MD5Test.java,secure_implementation,secure coding pattern — VULNERABLE_LOGIC repo
"Analyze this secure_implementation: import org.hamcrest.CoreMatchers;
import org.junit.jupiter.api.DisplayName;
import org.junit.jupiter.api.Test;
import org.junit.jupiter.params.ParameterizedTest;
import org.junit.jupiter.params.provider.Arguments;
import org.junit.jupiter.params.provider.MethodSource;
import org.owasp.webgoat.container.plugins.LessonTest;",SAFE_CODE,WebGoat,SpoofCookieAssignmentTest.java,secure_implementation,secure coding pattern — VULNERABLE_LOGIC repo
"Analyze this secure_implementation: import java.util.stream.Stream;
import org.junit.jupiter.api.DisplayName;
import org.junit.jupiter.api.Test;
import org.junit.jupiter.params.ParameterizedTest;
import org.junit.jupiter.params.provider.Arguments;
import org.junit.jupiter.params.provider.MethodSource;",SAFE_CODE,WebGoat,EncDecTest.java,secure_implementation,secure coding pattern — VULNERABLE_LOGIC repo
"Analyze this secure_implementation: class EncDecTest {

  @ParameterizedTest
  @DisplayName(""Encode test"")
  @MethodSource(""providedForEncValues"")
  void testEncode(String decoded, String encoded) {",SAFE_CODE,WebGoat,EncDecTest.java,secure_implementation,secure coding pattern — VULNERABLE_LOGIC repo
"Analyze this secure_implementation: assertThat(result.endsWith(encoded)).isTrue();
  }

  @ParameterizedTest
  @DisplayName(""Decode test"")
  @MethodSource(""providedForDecValues"")
  void testDecode(String decoded, String encoded) {",SAFE_CODE,WebGoat,EncDecTest.java,secure_implementation,secure coding pattern — VULNERABLE_LOGIC repo
"Analyze this hardcoded_secret: private static Stream<Arguments> providedForDecValues() {
    return Stream.of(
        Arguments.of(""webgoat"", ""NjI2MTcwNGI3YTQxNGE1OTU2NzQ3NDYxNmY2NzYyNjU3Nw==""),
        Arguments.of(""admin"", ""NjI2MTcwNGI3YTQxNGE1OTU2NzQ2ZTY5NmQ2NDYx""),
        Arguments.of(""tom"", ""NjI2MTcwNGI3YTQxNGE1OTU2NzQ2ZDZmNzQ=""));
  }
}",REAL_SECRET,WebGoat,EncDecTest.java,hardcoded_secret,confirmed secret pattern — VULNERABLE_LOGIC repo
"Analyze this secure_implementation: public void removeGrant() throws SQLException {
    dataSource
        .getConnection()
        .prepareStatement(""revoke select on grant_rights from unauthorized_user cascade"")
        .execute();
  }",SAFE_CODE,WebGoat,SqlInjectionLesson5Test.java,secure_implementation,secure coding pattern — VULNERABLE_LOGIC repo
"Analyze this hardcoded_secret: public void solve() throws Exception {
    mockMvc
        .perform(
            MockMvcRequestBuilders.post(""/SqlOnlyInputValidationOnKeywords/attack"")
                .param(
                    ""userid_sql_only_input_validation_on_keywords"",
                    ""Smith';SESELECTLECT/**/*/**/FRFROMOM/**/user_system_data;--""))",REAL_SECRET,WebGoat,SqlOnlyInputValidationOnKeywordsTest.java,hardcoded_secret,confirmed secret pattern — VULNERABLE_LOGIC repo
"Analyze this hardcoded_secret: public void containsForbiddenSqlKeyword() throws Exception {
    mockMvc
        .perform(
            MockMvcRequestBuilders.post(""/SqlOnlyInputValidationOnKeywords/attack"")
                .param(
                    ""userid_sql_only_input_validation_on_keywords"",
                    ""Smith';SELECT/**/*/**/from/**/user_system_data;--""))",REAL_SECRET,WebGoat,SqlOnlyInputValidationOnKeywordsTest.java,hardcoded_secret,confirmed secret pattern — VULNERABLE_LOGIC repo
